Data,IdCampagna,avgBid
2017-06-07 00:00:00.000,116,0.40
2017-06-08 00:00:00.000,116,0.40
2017-06-09 00:00:00.000,116,0.40
2017-06-12 00:00:00.000,116,0.40
2017-06-13 00:00:00.000,116,0.40
2017-06-14 00:00:00.000,116,0.40
2017-06-15 00:00:00.000,116,0.40
2017-06-16 00:00:00.000,116,0.40
2017-06-20 00:00:00.000,116,0.40
2017-06-21 00:00:00.000,116,0.40
2017-06-22 00:00:00.000,116,0.40
2017-06-25 00:00:00.000,116,0.40
2017-06-26 00:00:00.000,116,0.40
2017-06-27 00:00:00.000,116,0.40
2017-06-07 00:00:00.000,117,0.29
2017-06-08 00:00:00.000,117,0.29
2017-06-09 00:00:00.000,117,0.29
2017-06-12 00:00:00.000,117,0.29
2017-06-13 00:00:00.000,117,0.29
2017-06-14 00:00:00.000,117,0.29
2017-06-15 00:00:00.000,117,0.29
2017-06-16 00:00:00.000,117,0.29
2017-06-20 00:00:00.000,117,0.29
2017-06-21 00:00:00.000,117,0.29
2017-06-22 00:00:00.000,117,0.29
2017-06-23 00:00:00.000,117,0.23
2017-06-25 00:00:00.000,117,0.29
2017-06-26 00:00:00.000,117,0.28
2017-06-27 00:00:00.000,117,0.29
2017-06-07 00:00:00.000,118,0.30
2017-06-08 00:00:00.000,118,0.30
2017-06-09 00:00:00.000,118,0.30
2017-06-12 00:00:00.000,118,0.30
2017-06-13 00:00:00.000,118,0.30
2017-06-14 00:00:00.000,118,0.30
2017-06-15 00:00:00.000,118,0.30
2017-06-16 00:00:00.000,118,0.30
2017-06-20 00:00:00.000,118,0.30
2017-06-21 00:00:00.000,118,0.30
2017-06-23 00:00:00.000,118,0.30
2017-06-25 00:00:00.000,118,0.30
2017-06-27 00:00:00.000,118,0.30
2017-06-07 00:00:00.000,119,0.45
2017-06-08 00:00:00.000,119,0.45
2017-06-09 00:00:00.000,119,0.45
2017-06-12 00:00:00.000,119,0.45
2017-06-13 00:00:00.000,119,0.45
2017-06-14 00:00:00.000,119,0.45
2017-06-15 00:00:00.000,119,0.45
2017-06-16 00:00:00.000,119,0.45
2017-06-20 00:00:00.000,119,0.45
2017-06-21 00:00:00.000,119,0.45
2017-06-23 00:00:00.000,119,0.45
2017-06-25 00:00:00.000,119,0.45
2017-06-27 00:00:00.000,119,0.45
2017-06-28 00:00:00.000,119,0.45
2017-06-07 00:00:00.000,122,0.87
2017-06-08 00:00:00.000,122,0.87
2017-06-09 00:00:00.000,122,0.87
2017-06-12 00:00:00.000,122,0.87
2017-06-13 00:00:00.000,122,0.87
2017-06-14 00:00:00.000,122,0.87
2017-06-15 00:00:00.000,122,0.87
2017-06-16 00:00:00.000,122,0.87
2017-06-17 00:00:00.000,122,0.23
2017-06-20 00:00:00.000,122,0.87
2017-06-21 00:00:00.000,122,0.45
2017-06-22 00:00:00.000,122,0.73
2017-06-23 00:00:00.000,122,0.87
2017-06-25 00:00:00.000,122,0.87
2017-06-27 00:00:00.000,122,0.87
2017-06-28 00:00:00.000,122,0.87
2017-06-07 00:00:00.000,127,1.29
2017-06-08 00:00:00.000,127,1.53
2017-06-09 00:00:00.000,127,1.53
2017-06-12 00:00:00.000,127,1.53
2017-06-13 00:00:00.000,127,1.53
2017-06-14 00:00:00.000,127,1.53
2017-06-15 00:00:00.000,127,1.53
2017-06-16 00:00:00.000,127,1.53
2017-06-17 00:00:00.000,127,1.53
2017-06-20 00:00:00.000,127,1.53
2017-06-21 00:00:00.000,127,1.53
2017-06-22 00:00:00.000,127,1.53
2017-06-23 00:00:00.000,127,1.81
2017-06-25 00:00:00.000,127,1.81
2017-06-27 00:00:00.000,127,1.81
2017-06-28 00:00:00.000,127,1.81
2017-06-07 00:00:00.000,128,2.65
2017-06-08 00:00:00.000,128,2.65
2017-06-09 00:00:00.000,128,2.65
2017-06-12 00:00:00.000,128,2.65
2017-06-13 00:00:00.000,128,2.65
2017-06-14 00:00:00.000,128,2.65
2017-06-15 00:00:00.000,128,2.65
2017-06-16 00:00:00.000,128,2.65
2017-06-17 00:00:00.000,128,2.65
2017-06-20 00:00:00.000,128,2.65
2017-06-21 00:00:00.000,128,2.65
2017-06-22 00:00:00.000,128,2.65
2017-06-23 00:00:00.000,128,2.65
2017-06-25 00:00:00.000,128,2.65
2017-06-27 00:00:00.000,128,2.65
2017-06-28 00:00:00.000,128,2.65
2017-06-12 00:00:00.000,130,0.01
2017-06-13 00:00:00.000,130,0.01
2017-06-14 00:00:00.000,130,0.01
2017-06-15 00:00:00.000,130,0.01
2017-06-16 00:00:00.000,130,0.01
2017-06-17 00:00:00.000,130,0.01
2017-06-20 00:00:00.000,130,0.01
2017-06-21 00:00:00.000,130,0.01
2017-06-22 00:00:00.000,130,0.01
2017-06-23 00:00:00.000,130,0.01
2017-06-25 00:00:00.000,130,0.01
2017-06-27 00:00:00.000,130,0.01
2017-06-28 00:00:00.000,130,0.01
